Year,Quarter,MAPC,Revenue,Revenue(Ride),Revenue(Delivery),Revenue(Freight),Total revenue,Externalities,Aug'19 crash,Feb'20 crash,Nov'20 boom,Gross Bookings ,Bookings(Ride),Bookings(Delivery),Bookings(Freight),Total bookings,Market share (percentage),Valuation
2018,Q1,70,,,,,,,IPO Irregularities,COVID,California Reg,,,,,,,
2018,Q2,76,,,,,,,,,,,,,,,,
2018,Q3,82,,,,,,,,,,,,,,,,
2018,Q4,91,,,,,,,,,,,,,,,,
2019,Q1,93,,,,,,,,,,,,,,,,
2019,Q2,99,(2348; 595; 195),2348,595,195,3138,0,0,0,0,(12188; 3386; 167),12188,3386,167,15741,69,41.57
2019,Q3,103,(2895; 645; 218),2895,645,218,3758,-2,2,0,0,(12554; 3658; 223),12554,3658,223,16435,69,43.53
2019,Q4,111,(3056; 734; 219),3056,734,219,4009,-1,1,0,0,(13512; 4374; 219),13512,4374,219,18105,71,29.67
2020,Q1,103,(2470; 819; 199),2470,819,199,3488,-3,0,3,0,(10847; 4683; 198),10847,4683,198,15728,70,31.37
2020,Q2,55,(790; 1211; 211),790,1211,211,2212,-3,0,2,0,(3046; 6961; 212) ,3046,6961,212,10219,69,22.82
2020,Q3,78,(1365; 1451; 288),1365,1451,288,3104,-1,0,1,0,(5905; 8550; 290),5905,8550,290,14745,71,30.68
2020,Q4,91.12727273,,,,,,3,0,0,3,,,,,,71,54.86
